Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Mar 27 2018 23:31:39,10,9,2,1,0.5,0.618,0.777,0.843,2,0,0.618,0.7773,0.8427,-0.2247,-0.3282,How can you see the function of a given button in SuperMemo?
Mar 27 2018 23:32:01,5,9,30,18,0.59,0.631,0.707,0.843,5,1,0.3688,0.2931,0.1573,0.2114,0.1112,User Item
Mar 27 2018 23:32:24,8,9,30,21,0.71,0.677,0.777,0.843,5,1,0.323,0.2227,0.1573,0.1657,0.0796,How can you add a new element to SuperMemo?
Mar 27 2018 23:32:42,9,9,2,1,0.5,0.615,0.777,0.843,2,0,0.6149,0.7773,0.8427,-0.2278,-0.332,How can you learn the elements stored in SuperMemo?
Mar 27 2018 23:33:00,3,9,2,1,0.5,0.569,0.771,0.843,2,0,0.5694,0.7708,0.8427,-0.2732,-0.3858,What do you need SuperMemo for?
Mar 27 2018 23:33:45,7,9,29,18,0.61,0.602,0.707,0.843,5,1,0.3979,0.293,0.1573,0.2406,0.1336,用来创建新对象的函数叫做什么函数？
Mar 27 2018 23:34:54,2,9,2,1,0.5,0.565,0.707,0.843,2,0,0.5646,0.7067,0.8427,-0.278,-0.3913,How can you always bring up the Question of the Day dialog?
Mar 28 2018 09:15:36,10,1,2,2,0.98,0.953,0.958,0.958,4,1,0.0466,0.0418,0.0418,0.0048,0.0004,How can you see the function of a given button in SuperMemo?
Mar 28 2018 09:15:46,2,1,2,2,0.97,0.958,0.958,0.958,4,1,0.0424,0.0416,0.0416,0.0008,0.0001,How can you always bring up the Question of the Day dialog?
Mar 28 2018 09:15:56,9,1,2,2,0.98,0.961,0.958,0.958,5,1,0.0388,0.0418,0.0418,-0.0029,-0.0002,How can you learn the elements stored in SuperMemo?
Mar 28 2018 09:16:04,3,1,2,2,0.98,0.964,0.958,0.958,4,1,0.0359,0.0418,0.0418,-0.0059,-0.0005,What do you need SuperMemo for?
Mar 30 2018 13:05:51,11,3,7,10,1.5,0.899,0.935,0.917,4,1,0.1006,0.0654,0.0832,0.0174,0.0032,How can you make a copy of a SuperMemo collection?
